-40,-40,160,0,105474,1234
-41,-39,160,-2,54706,1292
-41,-39,160,-2,54050,1355
-41,-39,160,-2,54033,1417
-41,-39,160,-2,53907,1480
-41,-39,160,-2,54438,1544
-41,-39,160,-3,53911,1607
-42,-38,160,-6,54627,1672
-42,-38,160,-5,54060,1734
-41,-39,160,-4,53995,1798
-41,-39,160,-4,53969,1861
-41,-39,160,-3,54454,1926
-41,-39,160,-4,53885,1988
-41,-39,160,-3,54384,2052
-41,-39,160,-2,54014,2115
-40,-40,160,-1,54386,2179
-40,-40,160,0,53911,2241
-40,-40,160,0,54434,2305
-40,-40,160,1,53887,2368
-39,-41,160,2,54417,2432
-39,-41,160,2,53914,2495
-39,-41,160,3,54373,2559
-39,-41,160,3,53997,2622
-39,-41,160,3,54473,2686
-39,-41,160,3,53984,2748
-39,-41,160,3,54507,2812
-39,-41,160,3,53964,2874
-39,-41,160,2,54413,2938
-40,-40,160,1,53926,3001
-40,-40,160,0,54404,3065
-40,-40,160,0,53958,3128
-40,-40,160,-1,54407,3192
-40,-40,160,-1,53958,3255
-41,-39,160,-2,54354,3319
-41,-39,160,-3,54037,3382
-41,-39,160,-3,54437,3445
-41,-39,160,-4,53862,3508
-41,-39,160,-4,54295,3571
-42,-38,160,-5,53960,3634
-42,-38,160,-5,54357,3698
-42,-38,160,-5,53877,3761
-42,-38,160,-5,54537,3826
-42,-38,160,-5,53933,3888
-41,-39,160,-4,54403,3952
-41,-39,160,-4,53964,4014
-41,-39,160,-4,54407,4078
-41,-39,160,-3,53929,4141
-41,-39,160,-2,54369,4204
-40,-40,160,-1,53945,4267
-40,-40,160,0,54415,4331
-40,-40,160,1,53952,4394
-40,-40,160,1,54364,4458
-40,-40,160,1,53955,4521
-39,-41,160,2,54395,4585
-39,-41,160,2,54001,4648
-39,-41,160,2,54456,4717
-39,-41,160,2,54061,4780
-39,-41,160,2,54485,4843
-39,-41,160,2,54002,4906
-39,-41,160,2,54357,4970
-39,-41,160,2,54038,5033
-40,-40,160,1,54436,5097
-40,-40,160,0,53934,5160
-40,-40,160,-1,54475,5224
-40,-40,160,-1,53926,5287
-41,-39,160,-2,54399,5350
-41,-39,160,-3,54027,5413
-41,-39,160,-4,54455,5477
-41,-39,160,-4,53932,5539
-41,-39,160,-4,54362,5603
-42,-38,160,-5,53969,5666
-42,-38,160,-5,54441,5730
-41,-39,160,-4,53991,5793
-41,-39,160,-3,54659,5858
-41,-39,160,-2,54097,5921
-40,-40,160,0,54389,5985
-39,-41,160,2,54232,6048
-38,-42,160,5,54513,6111
-37,-43,160,9,54254,6174
-36,-44,160,13,54344,6238
-34,-46,160,18,54217,6302
-32,-48,160,25,54746,6366
-30,-50,160,32,54435,6429
-27,-53,160,42,54261,6492
-25,-55,160,48,54398,6556
-22,-58,160,56,54187,6619
-20,-60,160,62,54677,6683
-18,-62,160,66,54096,6746
-16,-64,160,70,54588,6810
-14,-66,160,73,53989,6872
-14,-66,160,70,54551,6936
-12,-68,160,73,54067,6999
-14,-66,160,64,54590,7063
-13,-67,160,62,54067,7125
-14,-66,160,58,54661,7190
-13,-67,160,57,54167,7253
-13,-67,160,52,54654,7317
-15,-65,160,48,54139,7379
-16,-64,160,43,54872,7443
-19,-61,160,35,54253,7506
-23,-57,160,21,54863,7570
-26,-54,160,13,54362,7633
-26,-54,160,12,54593,7696
-29,-51,160,4,54364,7760
-38,-42,160,-27,54396,7824
-40,-40,160,-29,54208,7887
-42,-38,160,-30,54082,7950
-42,-38,160,-28,54112,8013
-42,-38,160,-24,54080,8076
-42,-38,160,-21,53916,8139
-21,-59,160,49,54237,8202
-16,-64,160,62,54288,8266
-9,-71,160,84,54088,8329
-6,-74,160,93,53964,8392
-2,-78,160,102,53969,8456
3,-83,160,112,53906,8519
5,-85,160,118,53930,8583
10,-90,160,126,53928,8646
14,-94,160,133,53805,8709
18,-98,160,137,53826,8772
20,-100,160,140,53798,8835
20,-100,160,143,53801,8898
20,-100,160,144,53737,8962
20,-100,160,144,53778,9025
20,-100,160,143,53723,9089
20,-100,160,141,53828,9153
20,-100,160,139,53879,9216
20,-100,160,137,53931,9279
20,-100,160,134,53923,9342
20,-100,160,131,53990,9405
20,-100,160,127,53972,9468
20,-100,160,101,54169,9532
20,-100,160,99,54087,9595
20,-100,160,93,54054,9658
20,-100,160,83,54170,9722
20,-100,160,53,54209,9786
16,-96,160,38,54216,9849
6,-86,160,5,54329,9912
-11,-69,160,-50,54126,9975
-21,-59,160,-76,54049,10039
-28,-52,160,-92,54115,10102
-38,-42,160,-117,54223,10165
-48,-32,160,-142,53937,10228
-54,-26,160,-150,53912,10292
-58,-22,160,-154,53842,10355
20,-100,160,156,53830,10419
20,-100,160,155,99592,10528
20,-100,160,153,53893,10585
20,-100,160,152,53892,10649
20,-100,160,152,53889,10712
20,-100,160,152,53927,10775
20,-100,160,153,53835,10838
20,-100,160,151,53877,10901
20,-100,160,147,54067,10966
20,-100,160,138,54121,11029
20,-100,160,120,54152,11092
20,-100,160,90,54130,11156
20,-100,160,54,54144,11220
20,-100,160,35,54233,11283
8,-88,160,-7,54441,11347
1,-81,160,-29,54518,11410
-8,-72,160,-54,54312,11473
-18,-62,160,-82,54142,11536
-33,-47,160,-124,53991,11599
20,-100,160,139,53786,11662
