-45,-35,160,-9,117197,17966
-45,-35,160,-10,59614,18030
-45,-35,160,-10,48828,18083
-45,-35,160,-10,48389,18147
-45,-35,160,-10,48216,18210
-45,-35,160,-10,48782,18275
-46,-34,160,-11,48212,18339
-43,-37,160,-6,48343,18403
-43,-37,160,-6,48309,18466
-42,-38,160,-3,48725,18530
-40,-40,160,0,48471,18594
-38,-42,160,4,48527,18658
-36,-44,160,7,48312,18721
-33,-47,160,13,48311,18785
-32,-48,160,15,48211,18849
-31,-49,160,18,48843,18913
-30,-50,160,20,48499,18977
-29,-51,160,21,48302,19041
-29,-51,160,21,48299,19105
-30,-50,160,19,48095,19169
-32,-48,160,15,47166,19231
-34,-46,160,11,46688,19293
-37,-43,160,5,47181,19357
-40,-40,160,0,46696,19420
-44,-36,160,-7,47022,19483
-47,-33,160,-14,47233,19547
-51,-29,160,-22,47701,19610
-54,-26,160,-28,47209,19673
-57,-23,160,-33,47644,19737
-58,-22,160,-36,47231,19801
-58,-22,160,-36,47709,19864
-58,-22,160,-36,47280,19926
-57,-23,160,-33,47690,19990
-54,-26,160,-27,50762,20057
-50,-30,160,-20,55459,20124
-45,-35,160,-9,47447,20180
-40,-40,160,1,49312,20245
-33,-47,160,13,55064,20314
-26,-54,160,27,55619,20379
-16,-64,160,47,53613,20442
-13,-67,160,54,47200,20499
-10,-70,160,60,50441,20565
-7,-73,160,66,54885,20633
-6,-74,160,67,54273,20695
-8,-72,160,63,54768,20759
-11,-69,160,57,54304,20822
-19,-61,160,41,48819,20880
-28,-52,160,23,46884,20941
-38,-42,160,4,54290,21012
-49,-31,160,-17,54220,21076
-55,-25,160,-29,54059,21139
-66,-14,160,-52,54752,21202
-76,-4,160,-71,54937,21266
-84,4,160,-87,55439,21330
-88,8,160,-96,55137,21393
-91,11,160,-102,55420,21457
-91,11,160,-101,54337,21520
-89,9,160,-97,54730,21583
-83,3,160,-86,54085,21646
-75,-5,160,-69,54701,21710
-69,-11,160,-57,51682,21771
-54,-26,160,-28,47166,21830
-38,-42,160,5,46722,21893
-19,-61,160,42,47321,21956
-1,-79,160,77,54330,22026
12,-92,160,103,54869,22090
20,-100,160,130,54341,22153
20,-100,160,141,54907,22217
20,-100,160,144,54403,22280
20,-100,160,144,55558,22345
20,-100,160,143,54269,22408
20,-100,160,140,55720,22473
20,-100,160,130,54664,22536
9,-89,160,98,54795,22599
-7,-73,160,65,54548,22662
-28,-52,160,23,54367,22725
-47,-33,160,-15,54782,22789
-68,-12,160,-55,54312,22851
-85,5,160,-90,54907,22915
-100,20,160,-120,54257,22978
-110,30,160,-143,54679,23042
-110,30,160,-146,54078,23106
-110,30,160,-149,54731,23169
-110,30,160,-149,54184,23232
-110,30,160,-148,54863,23296
-110,30,160,-142,54205,23358
-105,25,160,-129,54862,23422
-87,7,160,-93,54342,23485
-67,-13,160,-53,55013,23549
-35,-45,160,10,54814,23612
-5,-75,160,69,54591,23676
8,-88,160,95,54427,23740
15,-95,160,110,54274,23803
20,-100,160,136,54652,23867
20,-100,160,148,54049,23929
20,-100,160,155,54752,23994
20,-100,160,158,54139,24056
20,-100,160,157,54671,24120
20,-100,160,155,54325,24183
20,-100,160,151,54545,24247
20,-100,160,146,54035,24310
20,-100,160,140,54713,24374
20,-100,160,137,54098,24437
20,-100,160,129,54681,24501
18,-98,160,115,54210,24564
13,-93,160,105,54935,24627
6,-86,160,92,54444,24690
-5,-75,160,69,54934,24754
-14,-66,160,51,54600,24817
-25,-55,160,30,55377,24882
-32,-48,160,15,54675,24945
-33,-47,160,13,54692,25008
-37,-43,160,5,54646,25072
-40,-40,160,0,55216,25136
-41,-39,160,-2,54720,25198
-42,-38,160,-4,55472,25262
-41,-39,160,-2,55792,25326
-41,-39,160,-1,55799,25389
